loan_id,asof_date,grossapproval,exposure_at_default,collateral_value,total_assets,total_debt,current_assets,current_liabilities,maturity_years,days_past_due,loanstatus,origination_pd,default_flag,loss_severity
0,2002-01-01,94923.97572955559,94923.97572955559,45219.18104463304,763256.4235905226,555769.3293229564,97876.5547902384,124208.80610377001,1.6927644600290663,0,PIF,0.1308170061422011,0,0.0
1,2019-04-01,98331.33032985975,98331.33032985975,84602.11558559652,247870.3666550382,119258.27688720661,158295.85191257493,179306.68251073582,3.805105898305531,0,PIF,0.06637624857040855,0,0.0
2,2016-04-01,101896.89714994459,101896.89714994459,82094.64432475857,432101.7084923392,337566.8844118605,55617.1215540805,91590.77291354774,2.841317637549095,30,PIF,0.03208536727988539,0,0.0
3,2010-10-01,328806.1653396404,328806.1653396404,353854.9248519109,372754.18518049346,303139.17764444224,47997.184996164506,25449.468677170764,1.2828204755859391,0,PIF,0.04422019097634824,0,0.0
4,2010-10-01,104886.03389433029,104886.03389433029,85811.70399468225,828413.992408179,215251.0072930786,100095.21451772239,80314.98946406835,1.709496262515819,0,PIF,0.11457912717183184,0,0.0
5,2021-04-01,433572.04306861985,433572.04306861985,307590.910104989,834217.4805970644,283988.5589724042,19595.829386261626,31590.54991255864,1.5641229269354184,0,PIF,0.12164897435864808,0,0.0
6,2002-01-01,389422.1817220516,389422.1817220516,247473.677982493,613726.4595854065,224618.35445879752,53574.71940274611,91890.21426881471,3.4788713852750126,0,PIF,0.1267365317606707,0,0.0
7,2017-04-01,418913.9862071108,418913.9862071108,272433.20018866856,170806.91502360732,48315.36210246009,77203.93369566146,76917.90119558404,1.349297595531287,0,PIF,0.00933619743272504,0,0.0
8,2005-01-01,286727.2370987094,286727.2370987094,354126.23364451504,475398.08751980803,220598.02637885796,102649.64538657294,68744.62914519072,4.292187123109972,0,PIF,0.03186433185998335,0,0.0
9,2002-04-01,498504.74518361903,498504.74518361903,273465.11789559526,281169.26030372654,85595.39326743122,61192.97513281917,60486.88745165965,4.2266365237475885,0,PIF,0.027697388907562927,0,0.0
10,2013-01-01,69878.79632487257,69878.79632487257,90098.83972415194,805630.8438112752,504672.49663936306,116520.93399459722,121022.48998678099,1.3202479884831297,0,CHGOFF,0.10869172265703674,1,0.34580891485751597
11,2024-04-01,230569.233883751,230569.233883751,160067.5050463285,193490.29519328556,44752.82591295776,176898.7866245826,199435.18423977468,4.552788790920734,0,PIF,0.140885122359374,0,0.0
12,2018-04-01,195771.50102193627,195771.50102193627,93882.46056580372,124534.42620578004,45571.545406176796,113308.21765794439,88844.32899747397,4.836643302704795,0,PIF,0.014594848674093438,0,0.0
13,2019-01-01,476890.47442068846,476890.47442068846,297494.4560782833,657631.8075110641,448778.8073903664,64499.50912992204,54029.8436714023,1.1738723927249803,0,PIF,0.2837463746833049,0,0.0
